,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
102,Galactico Corporate,Tax Ann.,-10.6%,20.1%,0.5,0.4,0.4,0.7,0.5,0.2,0.4,0.3,0,,
103,Galactico Corporate,Cash from Investing Act. Ann.,-,-,1.4,-2.6,0.4,-6.9,-0.5,-0.5,-0.8,-5.3,-5.3,,
104,Galactico Corporate,Cash from Financing Act. Ann.,-,-,-10.2,7.6,0.6,-0.2,-1.7,3.4,,3.6,6.8,0,
105,Galactico Corporate,Net Cash Flow Ann.,-,-,-0.8,0.5,0.1,0.1,-0.1,-0.8,0.9,-0.2,0.3,0,
106,Galactico Corporate,Cash Plus Cash Eqv. Begin Of Year Ann.,-,-2.3%,0.8,0.3,0.1,0,0.1,0.9,0.1,0.3,0,,
107,Galactico Corporate,Cash Plus Cash Eqv. End Of Year Ann.,0%,0%,0.1,0.8,0.3,0.1,0,0.1,0.9,0.1,0.3,0,
108,Misquita Engineering,Cash from Operating Act. Ann.,-,-,-3,-3.1,1.2,-0,-0.6,0.4,0.6,0.2,-2.1,,
109,Misquita Engineering,PBT Ann.,-30.7%,-22.2%,0.2,-0.3,0.6,0.6,0.3,0.7,0.5,0.3,0.2,,
110,Misquita Engineering,Interest Ann.,-,-,0,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,,
111,Misquita Engineering,Tax Ann.,-,-,-0,,0.1,0.2,0.1,0.2,0.1,0,0.1,,
112,Misquita Engineering,Cash from Investing Act. Ann.,-,-,-0.4,-0.1,-0.3,0.2,0.8,-0.3,-0.6,-0.8,0.1,,
113,Misquita Engineering,Cash from Financing Act. Ann.,-,-,2.2,4.4,-0.8,-0.2,-0.2,-0.2,-0,0.7,2.1,,
114,Misquita Engineering,Net Cash Flow Ann.,-,-,-1.2,1.2,,-0,0,-0,0,0,,,
115,Misquita Engineering,Cash Plus Cash Eqv. Begin Of Year Ann.,-,-,1.2,,,0,0,0,0,,,,
116,Misquita Engineering,Cash Plus Cash Eqv. End Of Year Ann.,-,-,,1.2,,,0,0,0,0,,,
117,Shiv Aum Steels,Cash from Operating Act. Ann.,13.6%,0.6%,6.3,10.2,6.4,4.3,4.5,6.1,-5.7,-17.4,-0.3,,
118,Shiv Aum Steels,PBT Ann.,-8.1%,14.9%,12.8,13.7,19.4,16.5,3,6.4,8.8,8.1,4,,
119,Shiv Aum Steels,Interest Ann.,22.9%,6.1%,7.8,6.9,5.1,4.2,4.3,5.8,6.6,4.7,4.1,,
120,Shiv Aum Steels,Tax Ann.,-8.1%,19%,3.1,3.5,5,4,0.9,1.3,3.1,2.6,1.1,,
121,Shiv Aum Steels,Cash from Investing Act. Ann.,-,-,3,-2.2,-1.3,-4.3,1.6,-0,-1.2,-1.3,11.6,,
122,Shiv Aum Steels,Cash from Financing Act. Ann.,-,-,-3.3,-6.9,-5,-4.2,-4.4,-5.7,7.1,18.6,-11.8,,
123,Shiv Aum Steels,Net Cash Flow Ann.,-,82.1%,6,1.1,0.1,-4.1,1.6,0.3,0.2,-0,-0.5,,
124,Shiv Aum Steels,Cash Plus Cash Eqv. Begin Of Year Ann.,-29.6%,-11.1%,1.5,0.3,0.2,4.3,3,2.7,0.2,0.2,0.7,,
125,Shiv Aum Steels,Cash Plus Cash Eqv. End Of Year Ann.,234.7%,20.1%,7.5,1.5,0.3,0.2,4.6,3,0.3,0.2,0.2,,
126,Novateor Research,Cash from Operating Act. Ann.,-,-,-0.9,-1,-0.5,-1,-0.3,-3.4,-0.1,0.1,0,,
127,Novateor Research,PBT Ann.,-,-,0.1,0.1,0,-0.3,0,0,0.3,,,,
128,Novateor Research,Interest Ann.,-,-,0.1,0,0,,,0,,0,0,,
129,Novateor Research,Tax Ann.,-,-,0,0,,-0,,0,0.1,,0,,
130,Novateor Research,Cash from Investing Act. Ann.,-,-,-0.2,-0.3,0.3,0.9,-0.1,-0.1,-2,,-0,,
131,Novateor Research,Cash from Financing Act. Ann.,-,-20.9%,1.3,1.1,0.4,-0.1,0.3,4.2,2,-0,,,
