,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
192,Udayshivakumar Infra,MainBoard,36.8,203.9,03 Apr `23,66.0 Cr,₹ 35,42.9x,64.1x,14.9x,32.5x,30.0,31.5,-14.3%,5.3%
193,Global Surfaces,MainBoard,114.5,485.5,23 Mar `23,155.0 Cr,₹ 140,8.9x,33.1x,5.1x,12.2x,164.0,171.1,17.1%,-18.2%
194,Divgi Torqtransfer ,MainBoard,626.9,1917.1,14 Mar `23,412.1 Cr,₹ 590,7.8x,1.4x,4.3x,5.4x,620.0,605.2,5.1%,6.3%
195,Sah Polymers,MainBoard,119.6,308.5,12 Jan `23,66.3 Cr,₹ 65,2.4x,32.7x,39.8x,17.5x,85.0,89.3,30.8%,84.0%
196,Radiant Cash Mgmt,MainBoard,63.2,674.6,04 Jan `23,387.9 Cr,₹ 99,0.9x,0.4x,0.2x,0.5x,103.0,104.9,4.0%,-36.1%
197,Unimech Aerospace,MainBoard,1300.0,6611.4,31 Dec `24,500.0 Cr,₹ 785,317.6x,263.8x,56.7x,175.3x,1460.0,1376.3,86.0%,65.6%
198,Senores Pharmaceuticals Ltd.,MainBoard,573.5,2640.9,30 Dec `24,582.1 Cr,₹ 391,94.7x,96.1x,89.2x,93.4x,600.0,557.0,53.5%,46.7%
199,Carraro India Ltd.,MainBoard,452.1,2570.3,30 Dec `24,1250.0 Cr,₹ 704,2.2x,0.6x,0.7x,1.1x,651.0,636.2,-7.5%,-35.8%
200,Ventive Hospitality Ltd.,MainBoard,743.5,17365.0,30 Dec `24,1600.0 Cr,₹ 643,9.1x,13.8x,5.9x,9.8x,716.0,704.4,11.3%,15.6%
201,Concord Enviro Systems Ltd.,MainBoard,563.8,1166.9,27 Dec `24,500.3 Cr,₹ 701,17.3x,14.2x,5.6x,10.7x,826.0,827.1,17.8%,-19.6%
202,Transrail Lighting Ltd.,MainBoard,723.8,9717.4,27 Dec `24,838.9 Cr,₹ 432,201.1x,76.4x,22.1x,80.8x,590.0,553.5,36.6%,67.5%
203,Sanathan Textiles Ltd.,MainBoard,494.3,4172.1,27 Dec `24,550.0 Cr,₹ 321,75.6x,42.2x,8.9x,35.1x,422.3,388.4,31.6%,54.0%
204,Mamata Machinery Ltd.,MainBoard,418.5,1029.8,27 Dec `24,179.4 Cr,₹ 243,235.9x,274.4x,138.1x,194.9x,600.0,630.0,146.9%,72.2%
205,Dam Capital Advisors Ltd.,MainBoard,254.2,1796.5,27 Dec `24,840.3 Cr,₹ 283,166.3x,98.6x,27.1x,82.1x,393.0,415.1,38.9%,-10.2%
206,International Gemmological Institute India Ltd.,MainBoard,392.4,16957.9,20 Dec `24,4225.0 Cr,₹ 417,45.8x,24.8x,11.2x,33.8x,510.0,471.1,22.3%,-5.9%
207,Inventurus Knowledge Solutions Ltd.,MainBoard,1568.0,26902.7,19 Dec `24,2497.9 Cr,₹ 1329,80.6x,23.3x,14.6x,52.7x,1900.0,1960.8,43.0%,18.0%
208,One MobiKwik Systems Ltd.,MainBoard,242.9,1898.1,18 Dec `24,572.0 Cr,₹ 279,119.5x,109.0x,134.7x,119.4x,440.0,528.0,57.7%,-12.9%
209,Sai Life Sciences Ltd.,MainBoard,798.4,16650.3,18 Dec `24,3042.6 Cr,₹ 549,30.9x,4.9x,1.4x,10.3x,650.0,764.6,18.4%,45.4%
