,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
344,Cell Point,SME,19.6,36.6,28 Jun `23,50.3 Cr,₹ 100,-,4.0x,7.5x,5.8x,100.0,95.0,0.0%,-80.4%
345,Bizotic Commercial,SME,200.0,160.8,23 Jun `23,42.2 Cr,₹ 175,-,2.0x,1.6x,1.8x,180.0,171.0,2.9%,14.3%
346,Spectrum Talent ,SME,124.0,286.4,22 Jun `23,105.1 Cr,₹ 173,2.1x,33.6x,16.0x,11.7x,155.0,147.3,-10.4%,-28.3%
347,Urban Enviro Waste,SME,151.8,131.5,22 Jun `23,11.4 Cr,₹ 100,-,275.8x,209.5x,242.7x,141.0,148.1,41.0%,203.6%
348,Sonalis Consumer Products,SME,77.1,36.6,19 Jun `23,2.8 Cr,₹ 30,-,36.4x,45.9x,41.1x,38.0,39.9,26.7%,156.9%
349,Kore Digital,SME,318.8,383.3,14 Jun `23,18.0 Cr,₹ 180,-,47.4x,31.5x,39.5x,201.0,190.9,11.7%,431.3%
350,Comrade Appliances,SME,81.8,63.6,13 Jun `23,12.3 Cr,₹ 54,21.9x,120.8x,72.1x,71.9x,87.0,91.3,61.1%,51.4%
351,CFF Fluid Control,SME,698.7,1360.7,12 Jun `23,85.8 Cr,₹ 165,-,2.6x,1.5x,2.0x,175.0,183.8,6.1%,323.4%
352,Sahana System,SME,1300.0,1142.1,12 Jun `23,32.7 Cr,₹ 135,9.2x,6.8x,12.3x,9.5x,163.0,171.2,20.7%,863.0%
353,Infollion Research ,SME,466.9,452.5,08 Jun `23,21.4 Cr,₹ 82,36.1x,800.4x,345.5x,259.1x,209.0,198.6,154.9%,469.4%
354,Proventus Agrocom,SME,1049.0,361.6,05 Jun `23,69.5 Cr,₹ 771,-,4.5x,0.7x,2.6x,821.0,862.0,6.5%,36.1%
355,Hemant Surgical ,SME,93.2,97.3,05 Jun `23,24.8 Cr,₹ 90,41.0x,203.3x,158.7x,139.7x,171.0,179.6,90.0%,3.6%
356,Crayons Advertising,SME,52.5,128.3,02 Jun `23,41.8 Cr,₹ 65,24.0x,308.6x,225.7x,137.3x,90.0,94.5,38.5%,-19.2%
357,Vasa Denticity,SME,624.0,1037.2,02 Jun `23,54.1 Cr,₹ 128,19.8x,207.6x,77.0x,68.0x,211.0,221.6,64.8%,387.5%
358,Remus Pharma,SME,902.0,1062.9,29 May `23,47.7 Cr,₹ 1229,10.8x,229.3x,49.8x,57.2x,1711.3,1796.8,39.2%,487.1%
359,Krishca Strapping ,SME,273.4,388.0,26 May `23,17.9 Cr,₹ 54,36.1x,786.9x,572.8x,336.6x,118.8,112.9,120.0%,406.4%
360,Auro Impex ,SME,56.0,68.3,23 May `23,24.3 Cr,₹ 78,6.3x,235.7x,81.2x,66.9x,78.0,75.7,0.0%,-28.2%
361,Innokaiz,SME,18.3,18.7,11 May `23,21.2 Cr,₹ 78,23.9x,224.9x,46.1x,88.4x,148.2,155.6,90.0%,-76.5%
362,De Neers Tools,SME,328.9,941.0,11 May `23,23.0 Cr,₹ 101,3.7x,60.2x,11.9x,15.0x,190.0,180.5,88.1%,225.7%
363,Retina Paints,SME,58.0,89.0,03 May `23,11.1 Cr,₹ 30,-,6.2x,10.4x,8.3x,29.1,30.5,-3.2%,93.3%
364,Quicktouch Tech,SME,59.5,76.3,02 May `23,9.3 Cr,₹ 61,-,165.0x,49.5x,107.3x,92.0,96.6,50.8%,-2.5%
365,A G Universal,SME,52.0,28.5,24 Apr `23,8.7 Cr,₹ 60,-,4.2x,2.5x,3.4x,60.0,60.1,0.0%,-13.3%
366,Pattech Fitwell Tube,SME,113.1,87.7,21 Apr `23,12.0 Cr,₹ 50,-,2.0x,1.9x,2.0x,55.0,57.8,10.0%,126.2%
367,MOS Utility,SME,268.0,668.3,18 Apr `23,50.0 Cr,₹ 76,5.4x,55.0x,11.4x,14.9x,90.0,94.5,18.4%,252.6%
368,Sancode Technologies,SME,54.8,22.3,18 Apr `23,5.2 Cr,₹ 47,-,3.8x,3.2x,3.5x,64.0,60.8,36.2%,16.5%
369,Infinium Pharmachem,SME,290.0,403.6,17 Apr `23,25.3 Cr,₹ 135,-,1.8x,1.9x,1.9x,141.5,147.8,4.8%,329.6%
370,Exhicon Events Media,SME,480.0,622.2,17 Apr `23,21.1 Cr,₹ 64,1.0x,3.3x,2.3x,1.9x,64.0,67.2,0.0%,650.0%
371,Sotac Pharma,SME,136.6,150.9,13 Apr `23,33.3 Cr,₹ 111,1.0x,4.0x,0.9x,1.6x,115.0,120.8,3.6%,23.1%
372,Maiden Forgings,SME,81.0,115.1,06 Apr `23,23.8 Cr,₹ 63,1.0x,1.4x,1.1x,1.2x,63.0,59.9,0.0%,28.6%
373,Dev Labtech Venture,SME,66.3,74.9,29 Mar `23,11.2 Cr,₹ 51,-,2.6x,8.2x,5.5x,51.0,50.2,0.0%,29.9%
374,Command Polymers,SME,31.4,29.5,29 Mar `23,7.1 Cr,₹ 28,-,1.8x,1.0x,1.4x,26.8,26.5,-4.5%,12.2%
375,Nirman Agri Genetics,SME,189.9,152.1,28 Mar `23,20.3 Cr,₹ 99,-,1.2x,2.2x,1.7x,102.0,101.3,3.0%,91.9%
376,Quality Foils,SME,80.5,23.0,24 Mar `23,4.5 Cr,₹ 60,-,464.5x,259.6x,364.4x,100.0,97.7,66.7%,34.1%
377,Bright Outdoor Media,SME,566.9,824.8,24 Mar `23,55.5 Cr,₹ 146,-,1.4x,1.1x,1.3x,150.0,157.5,2.7%,288.3%
378,Labelkraft Tech,SME,63.0,20.4,23 Mar `23,4.8 Cr,₹ 55,-,46.8x,59.8x,53.4x,56.0,55.8,1.8%,14.6%
379,Sudarshan Pharma ,SME,29.4,706.8,22 Mar `23,50.1 Cr,₹ 73,1.0x,0.8x,1.2x,1.1x,73.0,69.3,0.0%,302.3%
380,VELS Film Intl,SME,65.5,84.6,22 Mar `23,33.7 Cr,₹ 99,-,1.2x,1.0x,1.1x,101.0,103.4,2.0%,-33.8%
381,MCON Rasayan,SME,104.2,76.3,20 Mar `23,6.8 Cr,₹ 40,-,307.1x,453.4x,384.6x,48.0,50.4,20.0%,160.4%
382,Prospect Commodities,SME,67.6,27.7,20 Mar `23,7.5 Cr,₹ 61,-,6.8x,3.8x,5.3x,61.0,61.5,0.0%,10.8%
383,Systango Tech,SME,245.1,359.5,15 Mar `23,34.8 Cr,₹ 90,14.1x,230.4x,66.6x,65.0x,98.0,102.9,8.9%,172.3%
384,Vertexplus Tech,SME,112.0,61.4,15 Mar `23,14.2 Cr,₹ 96,0.6x,35.1x,15.5x,11.0x,101.0,106.0,5.2%,16.7%
385,ITCONS E-Solutions,SME,566.8,333.6,13 Mar `23,8.7 Cr,₹ 51,-,16.1x,17.4x,16.7x,47.0,49.3,-7.9%,1011.4%
386,ResGen,SME,77.8,163.2,13 Mar `23,28.2 Cr,₹ 47,1.1x,3.9x,3.9x,2.5x,49.0,46.6,4.3%,65.5%
387,SVJ Enterprises,SME,195.3,108.8,09 Mar `23,6.1 Cr,₹ 36,-,2.1x,0.9x,1.5x,38.0,36.1,5.6%,442.4%
388,Srivasavi Adhesive Tapes,SME,67.0,95.0,09 Mar `23,15.5 Cr,₹ 41,-,7.1x,8.3x,7.7x,40.0,42.0,-2.4%,63.4%
389,Amanaya Ventures,SME,12.8,4.8,09 Mar `23,2.8 Cr,₹ 23,-,0.8x,2.7x,1.8x,20.1,19.1,-12.6%,-44.4%
390,Patron Exim,SME,6.7,15.5,06 Mar `23,16.7 Cr,₹ 27,-,1.0x,1.2x,1.1x,28.4,27.0,5.2%,-75.3%
391,Viaz Tyres,SME,53.0,64.9,01 Mar `23,20.0 Cr,₹ 62,-,5.3x,6.2x,5.8x,68.0,68.0,9.7%,-14.5%
392,Macfos,SME,758.4,714.2,01 Mar `23,23.7 Cr,₹ 102,21.6x,660.0x,268.3x,193.8x,184.0,174.8,80.4%,643.5%
393,Sealmatic,SME,581.0,525.8,01 Mar `23,56.2 Cr,₹ 225,8.7x,39.1x,12.0x,13.5x,225.0,236.3,0.0%,158.2%
394,Agarwal Float Glass,SME,48.0,34.8,23 Feb `23,9.2 Cr,₹ 42,-,3.1x,7.2x,5.2x,44.0,44.0,4.8%,14.3%
395,Indong Tea Company,SME,13.8,26.9,21 Feb `23,13.0 Cr,₹ 26,-,2.2x,7.8x,5.0x,20.8,21.8,-20.0%,-46.7%
396,Lead Reclaim & Rubber,SME,73.3,63.4,21 Feb `23,4.9 Cr,₹ 25,-,87.6x,63.9x,75.7x,27.5,27.6,10.0%,193.4%
397,Shera Energy,SME,143.5,350.7,17 Feb `23,35.2 Cr,₹ 57,8.7x,190.1x,51.3x,47.4x,64.1,67.3,12.5%,151.8%
398,Earthstahl & Alloys,SME,25.0,30.6,08 Feb `23,13.0 Cr,₹ 40,39.8x,445.1x,190.7x,234.8x,55.0,57.8,37.5%,-37.5%
399,Gayatri Rubbers,SME,417.0,239.3,07 Feb `23,4.6 Cr,₹ 30,-,-,-,-,35.0,36.8,16.7%,1290.0%
400,Transvoy Logistics,SME,75.0,20.0,02 Feb `23,5.1 Cr,₹ 71,-,200.0x,168.4x,184.2x,71.0,74.5,0.0%,5.6%
401,Dharni Capital ,SME,54.0,110.0,31 Jan `23,10.7 Cr,₹ 20,-,6.3x,6.8x,6.5x,21.0,20.3,5.0%,170.0%
402,Aristo Bio-Tech,SME,142.0,96.7,30 Jan `23,13.1 Cr,₹ 72,-,285.8x,149.5x,217.7x,80.0,84.0,11.1%,97.2%
403,Ducol Organics & Colours,SME,123.9,201.9,19 Jan `23,31.5 Cr,₹ 78,-,58.1x,31.0x,44.6x,112.0,117.5,43.5%,58.9%
404,Logica Infoway,SME,213.4,379.8,17 Jan `23,16.9 Cr,₹ 225,-,1.9x,1.6x,1.7x,270.0,283.5,20.0%,469.1%
405,Chaman Metallics,SME,165.3,399.1,16 Jan `23,24.2 Cr,₹ 38,-,255.9x,159.8x,207.9x,68.0,64.6,79.0%,335.1%
406,Rex Sealing ,SME,185.0,41.1,12 Jan `23,8.1 Cr,₹ 135,-,2.0x,3.3x,2.6x,137.0,143.8,1.5%,37.0%
407,SVS Ventures,SME,10.7,22.8,12 Jan `23,11.2 Cr,₹ 20,-,0.5x,2.0x,1.3x,20.5,21.5,2.5%,-46.6%
408,Anlon Technology ,SME,420.0,262.7,10 Jan `23,15.0 Cr,₹ 100,54.5x,883.6x,446.8x,428.5x,251.1,263.6,151.1%,320.0%
409,RBM Infracon,SME,458.6,463.3,04 Jan `23,8.4 Cr,₹ 36,-,46.3x,34.2x,40.3x,52.5,55.1,45.8%,1173.8%
410,Homesfy Realty,SME,288.6,93.1,02 Jan `23,15.9 Cr,₹ 197,-,26.8x,16.5x,21.7x,275.1,287.9,39.6%,46.5%
411,Newmalayalam Steel Ltd.,SME,27.9,48.3,27 Dec `24,41.8 Cr,₹ 90,1.2x,23.5x,83.3x,48.2x,90.0,85.5,0.0%,-68.9%
412,Identical Brains Studios Ltd.,SME,42.5,59.6,26 Dec `24,19.9 Cr,₹ 54,99.7x,1357.7x,721.7x,506.1x,95.0,99.8,75.9%,-21.3%
413,NACDAC Infrastructure Ltd.,SME,38.9,40.9,24 Dec `24,10.0 Cr,₹ 35,118.2x,5237.1x,3232.8x,1976.1x,66.5,69.8,90.0%,11.0%
414,Hamps Bio Ltd.,SME,37.3,16.3,20 Dec `24,6.2 Cr,₹ 51,-,719.8x,1286.8x,1003.3x,96.9,101.7,90.0%,-26.8%
415,Yash Highvoltage Ltd.,SME,401.5,1146.3,19 Dec `24,110.0 Cr,₹ 146,65.7x,439.0x,201.3x,169.2x,277.4,291.3,90.0%,175.0%
416,Purple United Sales Ltd.,SME,364.1,349.9,18 Dec `24,32.8 Cr,₹ 126,45.9x,358.5x,206.3x,148.9x,199.0,208.9,57.9%,189.0%
417,Supreme Facility Management Ltd.,SME,32.9,81.7,18 Dec `24,50.0 Cr,₹ 76,7.8x,15.0x,40.4x,25.7x,75.0,71.3,-1.3%,-56.7%
418,Toss The Coin Ltd.,SME,400.0,75.6,17 Dec `24,9.2 Cr,₹ 182,78.0x,1281.8x,2060.8x,952.6x,345.8,363.1,90.0%,119.8%
419,Jungle Camps India Ltd.,SME,58.6,90.8,17 Dec `24,29.4 Cr,₹ 72,104.5x,1010.5x,731.8x,460.0x,136.8,130.0,90.0%,-18.6%
420,Dhanlaxmi Crop Science Ltd.,SME,52.5,85.6,16 Dec `24,23.8 Cr,₹ 55,96.3x,1722.9x,738.4x,565.0x,104.5,109.7,90.0%,-4.6%
421,Emerald Tyre Manufacturers Ltd.,SME,119.0,231.8,12 Dec `24,49.3 Cr,₹ 95,102.9x,1199.3x,734.8x,488.5x,180.5,189.5,90.0%,25.3%
422,Nisus Finance Services Co Ltd.,SME,305.9,730.6,11 Dec `24,114.2 Cr,₹ 180,49.2x,592.0x,183.3x,177.6x,225.0,236.3,25.0%,70.0%
423,Ganesh Infraworld Ltd.,SME,164.0,700.6,06 Dec `24,98.6 Cr,₹ 83,80.6x,1072.3x,357.2x,326.2x,157.7,165.6,90.0%,97.6%
424,Agarwal Toughened Glass India Ltd.,SME,124.0,219.2,05 Dec `24,62.6 Cr,₹ 108,2.4x,20.6x,14.2x,9.3x,135.0,141.8,25.0%,14.8%
425,Apex Ecotech Ltd.,SME,115.0,151.6,04 Dec `24,25.5 Cr,₹ 73,71.8x,1554.3x,433.4x,420.7x,138.7,145.6,90.0%,57.5%
426,Abha Power and Steel Ltd.,SME,31.0,57.6,04 Dec `24,38.5 Cr,₹ 75,-,9.7x,23.7x,16.7x,81.9,77.8,9.2%,-58.7%
427,C2C Advanced Systems Ltd.,SME,615.6,1024.5,03 Dec `24,99.1 Cr,₹ 226,16.8x,310.2x,176.3x,116.6x,429.4,450.9,90.0%,172.4%
428,Rajputana Biodiesel Ltd.,SME,224.0,157.6,03 Dec `24,24.7 Cr,₹ 130,88.4x,1750.0x,968.9x,645.8x,247.0,259.4,90.0%,72.3%
429,Rajesh Power Services Ltd.,SME,1323.0,2382.4,02 Dec `24,160.5 Cr,₹ 335,24.5x,185.2x,42.4x,54.9x,636.5,668.3,90.0%,294.9%
430,Lamosaic India Ltd.,SME,38.1,39.4,29 Nov `24,61.2 Cr,₹ 200,-,0.9x,2.5x,1.7x,164.0,172.2,-18.0%,-80.9%
431,Onyx Biotec Ltd.,SME,48.5,87.9,22 Nov `24,29.3 Cr,₹ 61,17.3x,799.9x,158.3x,184.6x,54.0,56.8,-11.4%,-20.5%
432,Mangal Compusolution Ltd.,SME,45.5,62.0,21 Nov `24,16.2 Cr,₹ 45,-,21.2x,44.5x,32.9x,45.0,42.8,0.0%,1.2%
433,Neelam Linens and Garments (India) Ltd.,SME,25.0,50.5,18 Nov `24,13.0 Cr,₹ 24,8.2x,364.0x,76.6x,85.5x,40.0,38.0,66.9%,4.2%
434,Usha Financial Services Ltd.,SME,82.0,178.2,31 Oct `24,98.5 Cr,₹ 168,5.3x,38.2x,27.4x,18.0x,164.0,155.8,-2.4%,-51.2%
435,Danish Power Ltd.,SME,1056.0,2079.4,29 Oct `24,197.9 Cr,₹ 380,54.7x,360.6x,104.2x,117.9x,570.0,598.5,50.0%,177.9%
436,OBSC Perfection Ltd.,SME,296.0,723.8,29 Oct `24,66.0 Cr,₹ 100,5.4x,34.8x,21.5x,15.5x,110.0,115.5,10.0%,196.0%
437,United Heat Transfer Ltd.,SME,74.6,141.8,29 Oct `24,30.0 Cr,₹ 59,14.2x,166.4x,131.4x,78.0x,61.0,64.0,3.3%,26.4%
438,Premium Plast Ltd.,SME,35.1,67.0,28 Oct `24,26.2 Cr,₹ 49,6.4x,18.7x,62.1x,37.0x,51.5,48.9,5.0%,-28.4%
439,Freshara Agro Exports Ltd.,SME,173.3,407.4,24 Oct `24,75.4 Cr,₹ 116,64.2x,635.5x,224.5x,206.0x,135.0,134.7,16.4%,49.4%
440,Lakshya Powertech Ltd.,SME,138.3,139.4,23 Oct `24,49.9 Cr,₹ 180,109.8x,1455.3x,744.9x,533.9x,342.0,359.1,90.0%,-23.2%
441,Pranik Logistics Ltd.,SME,84.8,93.3,17 Oct `24,22.5 Cr,₹ 77,18.9x,980.5x,128.0x,201.3x,79.0,83.0,2.6%,10.1%
442,Shiv Texchem Ltd.,SME,262.0,607.1,15 Oct `24,101.3 Cr,₹ 166,46.1x,605.9x,90.7x,145.7x,239.0,250.9,44.0%,57.8%
443,Khyati Global Ventures Ltd.,SME,65.3,45.5,11 Oct `24,18.3 Cr,₹ 99,-,5.2x,23.7x,14.5x,105.0,99.8,6.1%,-34.1%
444,Neopolitan Pizza,SME,12.9,21.9,09 Oct `24,12.0 Cr,₹ 20,-,21.8x,40.5x,31.1x,19.3,20.2,-3.8%,-35.6%
445,Subam Papers Ltd.,SME,84.1,195.5,08 Oct `24,93.7 Cr,₹ 152,30.4x,323.5x,65.1x,86.5x,142.0,149.1,-6.6%,-44.7%
446,Paramount Dye Tec Ltd.,SME,63.0,43.7,08 Oct `24,28.4 Cr,₹ 117,5.4x,180.4x,48.2x,46.6x,109.9,107.0,-6.1%,-46.2%
447,Saj Hotels Ltd.,SME,68.0,109.7,07 Oct `24,27.6 Cr,₹ 65,-,2.1x,8.2x,5.2x,55.0,52.5,-15.4%,4.6%
448,HVAX Technologies Ltd.,SME,1017.0,282.4,07 Oct `24,33.5 Cr,₹ 458,7.4x,104.7x,35.6x,31.8x,486.0,490.4,6.1%,122.0%
449,Forge Auto International Ltd.,SME,86.0,93.9,04 Oct `24,31.1 Cr,₹ 108,10.7x,78.2x,82.2x,45.9x,113.0,109.3,4.6%,-20.4%
450,Sahasra Electronic Solutions Ltd.,SME,290.0,724.8,04 Oct `24,186.2 Cr,₹ 283,53.6x,346.8x,99.5x,113.6x,537.7,564.5,90.0%,2.5%
451,Divyadhan Recycling Industries Ltd.,SME,51.5,73.6,04 Oct `24,24.2 Cr,₹ 64,15.6x,101.3x,43.0x,38.0x,84.0,88.2,31.3%,-19.6%
452,Nexxus Petro Industries Ltd.,SME,115.0,79.9,04 Oct `24,19.4 Cr,₹ 105,-,8.1x,8.1x,8.1x,126.0,132.3,20.0%,9.5%
453,Thinking Hats Entertainment Solutions Ltd.,SME,28.8,36.0,03 Oct `24,15.1 Cr,₹ 44,64.1x,338.4x,329.5x,305.4x,60.0,57.0,36.4%,-34.5%
454,Techera Engineering India Ltd.,SME,201.0,332.1,03 Oct `24,35.9 Cr,₹ 82,16.6x,171.8x,89.4x,65.3x,125.0,131.3,52.4%,145.1%
455,Unilex Colours and Chemicals Ltd.,SME,42.6,58.1,03 Oct `24,31.3 Cr,₹ 87,8.2x,81.2x,48.4x,33.2x,89.0,88.2,2.3%,-51.0%
456,Rappid Valves (India) Ltd.,SME,270.1,140.2,30 Sep `24,30.4 Cr,₹ 222,29.7x,654.2x,144.8x,163.6x,312.0,309.4,40.5%,21.7%
457,WOL 3D India Ltd.,SME,128.0,82.6,30 Sep `24,25.6 Cr,₹ 150,53.6x,994.8x,488.5x,347.0x,180.1,189.1,20.0%,-14.7%
458,Bikewo Green Tech Ltd.,SME,20.6,26.9,27 Sep `24,24.1 Cr,₹ 62,4.1x,67.9x,78.6x,39.8x,45.0,47.3,-27.4%,-66.8%
459,Phoenix Overseas Ltd.,SME,24.8,47.9,27 Sep `24,36.0 Cr,₹ 64,62.4x,108.2x,141.0x,115.1x,64.0,60.8,0.0%,-61.3%
460,Avi Ansh Textile Ltd.,SME,102.0,142.6,27 Sep `24,26.0 Cr,₹ 62,-,45.6x,10.8x,8.0x,68.0,71.2,9.7%,64.5%
461,S D Retail Ltd.,SME,134.5,251.8,27 Sep `24,65.0 Cr,₹ 131,37.1x,276.3x,86.7x,90.3x,145.0,150.9,10.7%,2.7%
462,Kalana Ispat Ltd.,SME,42.0,54.8,26 Sep `24,32.6 Cr,₹ 66,-,70.5x,70.5x,54.8x,45.1,47.4,-31.6%,-36.4%
463,Paramount Speciality Forgings Ltd.,SME,39.9,78.5,25 Sep `24,32.3 Cr,₹ 59,11.1x,293.2x,54.9x,68.7x,83.0,87.2,40.7%,-32.4%
464,Pelatro Ltd.,SME,427.0,444.4,24 Sep `24,56.0 Cr,₹ 200,7.9x,72.4x,16.9x,20.7x,275.0,288.8,37.5%,113.5%
465,Osel Devcies Ltd.,SME,319.3,514.9,24 Sep `24,70.7 Cr,₹ 160,42.2x,427.3x,273.6x,180.7x,198.1,207.9,23.8%,99.5%
