,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
13390,Kaka Industries,BVSH Ann.,-1.8%,,47.1,37.7,19.6,49.7,29.8,,,,,,
13391,Kaka Industries,RoA Ann. %,-8.8%,,8.19%,11.98%,10.83%,10.78%,8.47%,,,,,,
13392,Kaka Industries,ROE Ann. %,-20.7%,,19.99%,25.24%,36.73%,40.09%,40.67%,,,,,,
13393,Kaka Industries,ROCE Ann. %,-11.9%,,23.96%,25.83%,29.33%,35.06%,42.21%,,,,,,
13394,Kaka Industries,Profitability Ratio, ,, , , , , ,,,,,,
13395,Kaka Industries,EBITDA Ann. Margin %,16.5%,,13.32%,12.58%,9.00%,8.43%,8.13%,,,,,,
13396,Kaka Industries,EBIT Ann. Margin %,15.1%,,11.48%,11.55%,8.12%,7.52%,7.28%,,,,,,
13397,Kaka Industries,PBT Ann. Margin %,15.9%,,8.85%,10.19%,6.51%,5.69%,5.28%,,,,,,
13398,Kaka Industries,NPM Ann. %,15.2%,,6.50%,7.63%,4.67%,4.25%,3.84%,,,,,,
13399,Kaka Industries,Asset Turnover Ann. %,-19.7%,,1.5,2,2.7,2.9,-,,,,,,
13400,Kaka Industries,Liquidity Ratio, ,, , , , , ,,,,,,
13401,Kaka Industries,Current Ratio Ann.,-11%,,1.2,1.4,1.7,1.7,1.3,,,,,,
13402,Kaka Industries,Quick Ratio Ann.,-14.5%,,0.5,0.7,1.1,0.8,0.7,,,,,,
13403,Kaka Industries,Dividend Payout to NP Ann.,-,,-,-,-,-,-,,,,,,
13404,Kaka Industries,Earning Retention Ann. %,-,,-,,,,,,,,,,
13405,Kaka Industries,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13406,Kaka Industries,Cash Earning Retention Ann. %,-,,-,,,,,,,,,,
13407,Kaka Industries,Valuation Ratio, ,, , , , , ,,,,,,
13408,Kaka Industries,EnterpriseValue Ann.,-,,374.3,270.3,,,,,,,,,
13409,Kaka Industries,EV Per Net Sales Ann.,-,,1.9,1.6,-,-,-,,,,,,
13410,Kaka Industries,,-,,4.7,4.4,-,-,-,,,,,,
13411,Kaka Industries,EV Per EBITDA Ann.,-,,14.2,12.6,-,-,-,,,,,,
13412,Kaka Industries,Market Cap Per Sales Ann.,-,,1.5,1.3,-,-,-,,,,,,
13413,Kaka Industries,Retention Ratio Ann. %,-,,-,,,,,,,,,,
13414,Kaka Industries,Earnings Yield Ann.,-,,0,0.1,,,,,,,,,
13415,Kaka Industries,Total Debt to Total Equity Ann.,-20.6%,,1.1,0.9,2,2.2,2.7,,,,,,
13416,Senco Gold,BVSH Ann.,-3.3%,3.7%,121.2,177.2,167.5,134.2,110.8,101.3,85.7,222.1,,,
13417,Senco Gold,RoA Ann. %,-17.4%,-10.2%,3.49%,5.08%,5.54%,6.19%,3.94%,5.97%,6.34%,6.16%,,,
13418,Senco Gold,ROE Ann. %,-23%,-13.2%,8.33%,13.70%,17.19%,18.23%,10.43%,16.88%,16.36%,18.36%,,,
13419,Senco Gold,ROCE Ann. %,-17.5%,-10.3%,16.00%,22.53%,26.15%,28.49%,20.32%,27.62%,31.42%,32.49%,,,
13420,Senco Gold,Profitability Ratio, , , , , , , , , , ,,,
13421,Senco Gold,EBITDA Ann. Margin %,-6.2%,-6.1%,6.79%,8.10%,8.57%,8.23%,7.13%,9.29%,6.68%,6.81%,,,
13422,Senco Gold,EBIT Ann. Margin %,-6.6%,-5.8%,5.74%,6.98%,7.47%,7.04%,5.65%,7.75%,6.02%,5.97%,,,
13423,Senco Gold,PBT Ann. Margin %,-10.8%,-8.1%,3.57%,4.92%,5.36%,5.03%,3.14%,5.45%,4.65%,5.07%,,,
13424,Senco Gold,NPM Ann. %,-10.5%,-6.8%,2.64%,3.60%,3.94%,3.68%,2.31%,3.75%,3.00%,3.27%,,,
13425,Senco Gold,Asset Turnover Ann. %,-7.6%,-3.6%,1.5,1.6,1.6,1.9,1.7,1.8,2.1,-,,,
13426,Senco Gold,Liquidity Ratio, , , , , , , , , , ,,,
13427,Senco Gold,Current Ratio Ann.,4.3%,2.5%,1.7,1.6,1.4,1.5,1.6,1.5,1.5,1.4,,,
